INDEX 	 LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
27744 	 -41.6001 	 -21.2615 	 294.26 	 978619.19
27745 	 -41.8496 	 -21.2755 	 107.0 	 978647.39
27746 	 -41.8874 	 -21.2667 	 123.35 	 978644.52
27747 	 -41.8531 	 -21.2346 	 91.32 	 978649.31
27748 	 -41.9272 	 -21.1484 	 123.92 	 978629.83
27749 	 -41.9442 	 -21.1096 	 148.18 	 978621.53
27750 	 -41.9757 	 -21.0573 	 183.24 	 978611.15
27751 	 -41.9796 	 -21.0201 	 182.53 	 978605.87
27752 	 -41.9921 	 -20.9818 	 264.34 	 978584.33
27753 	 -42.0172 	 -20.979 	 210.38 	 978593.4
27754 	 -41.8862 	 -21.1424 	 142.11 	 978626.57
27755 	 -41.8966 	 -21.0992 	 146.36 	 978620.25
27756 	 -41.8881 	 -21.0629 	 160.62 	 978613.03
27757 	 -41.8858 	 -21.0255 	 248.05 	 978592.31
27758 	 -41.8515 	 -21.0185 	 159.78 	 978608.82
27759 	 -41.851 	 -20.9819 	 199.69 	 978596.2
27760 	 -41.8564 	 -20.9411 	 702.24 	 978496.68
27761 	 -41.8977 	 -20.978 	 462.59 	 978547.68
27762 	 -41.937 	 -21.0186 	 192.44 	 978605.51
27763 	 -41.9403 	 -21.0627 	 167.66 	 978613.4
27764 	 -41.9425 	 -20.9817 	 225.65 	 978593.64
27765 	 -41.9682 	 -20.9459 	 546.5 	 978526.18
27766 	 -41.9349 	 -20.9402 	 380.66 	 978560.65
27767 	 -41.9345 	 -20.8947 	 612.66 	 978513.74
27768 	 -41.9368 	 -20.8671 	 590.33 	 978513.54
27769 	 -41.9278 	 -20.8078 	 769.42 	 978473.91
27770 	 -41.8981 	 -20.8197 	 739.47 	 978481.92
27771 	 -41.902 	 -20.8485 	 728.67 	 978487.3
27772 	 -41.9359 	 -21.2294 	 113.71 	 978638.86
27773 	 -41.9778 	 -21.2284 	 125.88 	 978633.59
27774 	 -42.018 	 -21.2309 	 164.23 	 978627.29
27775 	 -42.0625 	 -21.2306 	 167.37 	 978626.93
27776 	 -42.0645 	 -21.2709 	 157.17 	 978631.63
27777 	 -42.0191 	 -21.2696 	 140.64 	 978634.61
27778 	 -41.9828 	 -21.2625 	 137.45 	 978635.52
27779 	 -41.8157 	 -21.1851 	 110.06 	 978642.84
27780 	 -41.8523 	 -21.1472 	 126.7 	 978633.08
27781 	 -41.8517 	 -21.1035 	 149.77 	 978621.4
27782 	 -41.8169 	 -21.1503 	 136.53 	 978637.44
27783 	 -41.8137 	 -21.1062 	 278.03 	 978605.19
27784 	 -41.7762 	 -21.1037 	 233.81 	 978615.56
27785 	 -41.7739 	 -21.1435 	 283.12 	 978607.05
27786 	 -41.7343 	 -21.1407 	 189.09 	 978623.45
27787 	 -41.7275 	 -21.1092 	 240.86 	 978611.37
27788 	 -41.7368 	 -21.0631 	 262.66 	 978605.66
27789 	 -41.7238 	 -21.0248 	 290.64 	 978593.25
27790 	 -41.7263 	 -20.9728 	 438.38 	 978560.4
27791 	 -41.739 	 -20.9416 	 467.0 	 978548.67
27792 	 -41.7335 	 -20.8957 	 556.75 	 978523.16
27793 	 -41.7632 	 -20.8867 	 579.2 	 978517.0
27794 	 -41.897 	 -20.8957 	 697.46 	 978497.38
27795 	 -41.8843 	 -20.9283 	 691.77 	 978500.09
27796 	 -41.8508 	 -20.8996 	 677.13 	 978500.26
27797 	 -41.859 	 -20.8555 	 668.69 	 978501.13
27798 	 -41.929 	 -21.2792 	 118.56 	 978644.68
27799 	 -41.9414 	 -21.3057 	 151.08 	 978639.88
27800 	 -41.9774 	 -21.3131 	 174.83 	 978634.63
27801 	 -42.025 	 -21.3492 	 174.97 	 978631.3
27802 	 -42.026 	 -21.3128 	 145.46 	 978636.55
27803 	 -42.0634 	 -21.3163 	 174.28 	 978627.78
27804 	 -42.0659 	 -21.345 	 349.39 	 978598.42
27805 	 -42.2316 	 -21.4375 	 127.15 	 978646.85
27806 	 -42.2673 	 -21.4353 	 202.9 	 978631.11
27807 	 -42.1479 	 -21.399 	 193.46 	 978630.67
27808 	 -42.1109 	 -21.3651 	 241.9 	 978618.59
27809 	 -42.2238 	 -21.3888 	 145.45 	 978640.11
27810 	 -42.2265 	 -21.3583 	 248.59 	 978616.32
27811 	 -42.1956 	 -21.3554 	 233.92 	 978619.03
27812 	 -42.1854 	 -21.3185 	 456.78 	 978573.24
27813 	 -42.1477 	 -21.2284 	 237.34 	 978611.43
27814 	 -42.1467 	 -21.2696 	 193.07 	 978622.53
27815 	 -42.1876 	 -21.2649 	 369.68 	 978587.92
27816 	 -41.9809 	 -21.1508 	 145.8 	 978624.93
27817 	 -42.0171 	 -21.1489 	 344.71 	 978584.69
27818 	 -42.06 	 -21.1526 	 179.39 	 978617.5
27819 	 -42.1014 	 -21.1418 	 207.32 	 978609.25
27820 	 -42.1321 	 -21.1196 	 210.36 	 978604.25
27821 	 -42.1082 	 -21.0972 	 213.54 	 978601.57
27822 	 -42.1831 	 -21.1885 	 185.32 	 978615.45
27823 	 -42.1464 	 -21.1912 	 179.54 	 978619.59
27824 	 -42.0993 	 -21.0607 	 404.9 	 978561.43
27825 	 -42.0703 	 -21.0727 	 243.15 	 978594.4
27826 	 -42.0597 	 -21.1019 	 184.33 	 978611.18
27827 	 -42.015 	 -21.0983 	 187.19 	 978611.43
27828 	 -41.9765 	 -21.0959 	 152.26 	 978620.71
27829 	 -42.017 	 -21.0636 	 191.95 	 978606.2
27830 	 -42.0222 	 -21.0253 	 198.58 	 978600.19
27831 	 -42.0639 	 -21.0199 	 484.96 	 978543.6
27832 	 -42.1455 	 -20.9705 	 500.33 	 978533.67
27833 	 -41.8584 	 -20.7727 	 634.02 	 978497.68
27834 	 -41.8544 	 -20.8091 	 662.79 	 978497.4
27835 	 -41.8128 	 -20.811 	 668.22 	 978494.78
27836 	 -41.7704 	 -20.8167 	 592.08 	 978508.01
27837 	 -41.7723 	 -20.8529 	 642.78 	 978500.74
27838 	 -41.8125 	 -20.8526 	 674.28 	 978495.32
27839 	 -41.8133 	 -20.8976 	 633.51 	 978506.41
27840 	 -41.8104 	 -20.9422 	 610.38 	 978515.76
27841 	 -41.7731 	 -20.9442 	 487.13 	 978539.75
27842 	 -41.7684 	 -20.9812 	 579.67 	 978530.58
27843 	 -41.8112 	 -20.9776 	 623.93 	 978514.41
27844 	 -41.2676 	 -21.3089 	 19.5 	 978680.33
27845 	 -41.2691 	 -21.2734 	 13.7 	 978677.7
27846 	 -41.2318 	 -21.2715 	 7.1 	 978680.8
27847 	 -43.1092 	 -22.8814 	 -0.04 	 978785.54
27848 	 -41.912 	 -21.1961 	 109.15 	 978638.03
27849 	 -42.9293 	 -22.6986 	 -2.19 	 978761.8
27850 	 -42.9761 	 -22.6459 	 -3.75 	 978753.96
27851 	 -43.018 	 -22.6687 	 -0.79 	 978752.63
